"API Plus","API Plus"
"Configuration","Configuração"
"API Plus Settings","Configurações API Plus"
"Enabled","Habilitado"
"Enable Result Caching","Habilitar Cache de Resultado"
"Result Caching Lifetime","Tempo de Vida do Cache de Resultado"
