"There was a problem in the request.","Houve um problema na sua requisição."
"Your account has been deactivated.","Sua conta foi desativada."
"Access denied.","Acesso negado."
"Unable to login.","Não foi possível logar."
"There is no resource method defined in your request. Please check it and try again.","Não existe um método de recurso definido na sua requisição. Por favor, verifique-a e tente novamente."
"Your credentials are incorrect. Please verify the username and password.","Suas credenciais estão incorretas. Por favor, verifique o nome de usuário e senha."
